# Real 2017, Simulated 2017, Simulated 2018, Cap 2 (0), Cap 2 (.25), Cap 2 (.5), Cap 3 (0), Cap 3 (.25), Cap 3 (.5), Missing 1, Missing 2, Missing 3
4.357000000000000000e+03,4.076000000000000000e+03,5.658000000000000000e+03,6.625000000000000000e+03,6.171000000000000000e+03,5.718000000000000000e+03,6.179000000000000000e+03,5.983000000000000000e+03,5.753000000000000000e+03,5.462000000000000000e+03,5.193000000000000000e+03,4.865000000000000000e+03
4.091000000000000000e+03,3.888000000000000000e+03,5.590000000000000000e+03,6.330000000000000000e+03,5.897000000000000000e+03,5.410000000000000000e+03,5.994000000000000000e+03,5.757000000000000000e+03,5.544000000000000000e+03,5.397000000000000000e+03,5.146000000000000000e+03,4.835000000000000000e+03
4.457000000000000000e+03,4.099000000000000000e+03,5.726000000000000000e+03,6.605000000000000000e+03,6.158000000000000000e+03,5.690000000000000000e+03,6.228000000000000000e+03,6.036000000000000000e+03,5.792000000000000000e+03,5.525000000000000000e+03,5.250000000000000000e+03,4.913000000000000000e+03
4.141000000000000000e+03,4.041000000000000000e+03,5.448000000000000000e+03,6.346000000000000000e+03,5.923000000000000000e+03,5.439000000000000000e+03,6.007000000000000000e+03,5.837000000000000000e+03,5.609000000000000000e+03,5.251000000000000000e+03,5.004000000000000000e+03,4.695000000000000000e+03
3.871000000000000000e+03,3.533000000000000000e+03,5.660000000000000000e+03,6.577000000000000000e+03,6.090000000000000000e+03,5.622000000000000000e+03,6.180000000000000000e+03,6.006000000000000000e+03,5.787000000000000000e+03,5.458000000000000000e+03,5.167000000000000000e+03,4.832000000000000000e+03
4.496000000000000000e+03,4.451000000000000000e+03,5.606000000000000000e+03,6.496000000000000000e+03,6.081000000000000000e+03,5.580000000000000000e+03,6.260000000000000000e+03,6.066000000000000000e+03,5.806000000000000000e+03,5.411000000000000000e+03,5.134000000000000000e+03,4.824000000000000000e+03
4.285000000000000000e+03,4.125000000000000000e+03,5.165000000000000000e+03,5.893000000000000000e+03,5.523000000000000000e+03,5.074000000000000000e+03,5.570000000000000000e+03,5.401000000000000000e+03,5.208000000000000000e+03,4.989000000000000000e+03,4.736000000000000000e+03,4.449000000000000000e+03
4.821000000000000000e+03,4.968000000000000000e+03,5.594000000000000000e+03,6.491000000000000000e+03,6.074000000000000000e+03,5.618000000000000000e+03,6.171000000000000000e+03,5.999000000000000000e+03,5.805000000000000000e+03,5.382000000000000000e+03,5.095000000000000000e+03,4.772000000000000000e+03
4.516000000000000000e+03,4.823000000000000000e+03,5.581000000000000000e+03,6.333000000000000000e+03,5.899000000000000000e+03,5.445000000000000000e+03,6.007000000000000000e+03,5.811000000000000000e+03,5.620000000000000000e+03,5.394000000000000000e+03,5.143000000000000000e+03,4.806000000000000000e+03
5.015000000000000000e+03,5.051000000000000000e+03,5.767000000000000000e+03,6.650000000000000000e+03,6.261000000000000000e+03,5.757000000000000000e+03,6.261000000000000000e+03,6.073000000000000000e+03,5.839000000000000000e+03,5.552000000000000000e+03,5.270000000000000000e+03,4.941000000000000000e+03
4.779000000000000000e+03,4.896000000000000000e+03,5.559000000000000000e+03,6.200000000000000000e+03,5.794000000000000000e+03,5.360000000000000000e+03,6.079000000000000000e+03,5.873000000000000000e+03,5.639000000000000000e+03,5.353000000000000000e+03,5.077000000000000000e+03,4.764000000000000000e+03
4.957000000000000000e+03,5.617000000000000000e+03,5.665000000000000000e+03,6.663000000000000000e+03,6.202000000000000000e+03,5.693000000000000000e+03,6.210000000000000000e+03,6.022000000000000000e+03,5.813000000000000000e+03,5.464000000000000000e+03,5.161000000000000000e+03,4.844000000000000000e+03
